FINANCIAL_ITEM_CODE,FINANCIAL_ITEM_NAME_TR,FINANCIAL_ITEM_NAME_EN,SYMBOL,2020/6,2020/9,2020/12,2021/3,2021/6,2021/9,2021/12,2022/3,2022/6,2022/9,2022/12,2023/3,2023/9,2023/12,2024/3,2024/6,2024/9,2024/12,2025/3,2025/6,2025/9
1A,Dönen Varlıklar,CURRENT ASSETS,KIMMR,0,0,50722448,0,46405796,67944790,47358315,47822767,45794395,44887493,73188131,54290753,46780338,70026100,51591955,51998498,56979693,78949292,68428035,66491296,64335396
1AA,Nakit ve Nakit Benzerleri,Cash and Cash Equivalents,KIMMR,0,0,9385125,0,8052621,30680419,18747452,17582331,16638668,13976289,23245073,17229672,17120489,30760318,24613523,28435923,29886499,45642333,33485354,35722271,29894723
1AB,Finansal Yatırımlar,Short-Term Financial Investments,KIMMR,0,0,0,0,0,0,0,0,0,1058092,2528158,1564563,2068118,2283528,466040,0,0,0,0,0,15752
1AC,Ticari Alacaklar,Short-Term Trade Receivables,KIMMR,0,0,6472708,0,6979036,5239727,2999306,2849185,2771492,2993188,6605246,4960069,4901994,6249501,6300476,5457936,5221707,6681540,6706879,5657706,5466755
1AD,Finans Sektörü Faaliyetlerinden Alacaklar,Short-Term Receivables from Financial Operations,KIMMR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1AE,Diğer Alacaklar,Short-Term Other Receivables,KIMMR,0,0,432036,0,295850,347017,151033,114120,436285,237271,560846,311792,999312,704801,247404,222956,546321,441322,157123,269798,429727
1AEA,Müşteri Sözleşmelerinden Doğan Varlıklar,None,KIMMR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1AF,Stoklar,Inventories,KIMMR,0,0,33173476,0,30066294,30646811,23903712,25865716,23956341,24006078,33907104,27362829,19733445,26786121,18303676,16175150,19093873,22171223,24552148,21488305,25362873
1AG,Canlı Varlıklar,Short-Term Live Assets,KIMMR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1AH,Diğer Dönen Varlıklar,Other Current Assets,KIMMR,0,0,1259104,0,1011995,1030815,1556811,1411414,1991610,2616576,6341704,2861827,1956980,3241830,1660836,1706533,2231292,4012873,3526532,3353215,3165566
1AI,(Ara Toplam),(Subtotal),KIMMR,0,0,50722448,0,46405796,67944790,47358315,47822767,45794395,44887493,73188131,54290753,46780338,70026100,51591955,51998498,56979693,78949292,68428035,66491296,64335396
1AJ,Satış Amacıyla Elde Tutulan Duran Varlıklar,Assets to be Sold,KIMMR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1AK,Duran Varlıklar,LONG TERM ASSETS,KIMMR,0,0,31221840,0,29475710,31252454,21926480,21749672,23781984,22665368,79188667,45502877,42928667,113717034,80236204,99537052,104690967,145362857,120912243,125704937,140911336
1B,Ticari Alacaklar,Trade Receivables,KIMMR,0,0,0,0,0,0,0,0,0,0,54550,0,0,0,0,0,0,0,585174,0,576600
1BA,Finans Sektörü Faaliyetlerinden Alacaklar,Long-Term Receivables from Financial Operations,KIMMR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1BB,Diğer Alacaklar,Other Receivables,KIMMR,0,0,62085,0,54635,61556,38693,40485,35955,33330,0,138636,101271,137313,588225,617012,869256,741698,0,552402,0
1BBA,Müşteri Sözleşmelerinden Doğan Varlıklar,None,KIMMR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1BC,Finansal Yatırımlar,Financial Investments,KIMMR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1BD,Özkaynak Yöntemiyle Değerlenen Yatırımlar,Investments with Equity Method,KIMMR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1BE,Canlı Varlıklar,Long-Term Live Assets,KIMMR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1BF,Yatırım Amaçlı Gayrimenkuller,Real Estate Investments,KIMMR,0,0,1773380,0,1515772,1481927,1804838,1643537,4169812,3751597,10710435,6345711,4439591,15231728,11068517,12998766,13620903,23335841,23484505,23833675,31885090
1BFA,Stoklar,Stoklar,KIMMR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1BFAA,Kullanım Hakkı Varlıkları,None,KIMMR,0,0,8882421,0,9082561,10350307,7085998,7945182,8031199,7794500,28628628,14613344,17561985,48553467,33435532,48880728,49448585,70821101,55932993,60625483,66030942
1BG,Maddi Duran Varlıklar,Tangible Fixed Assets,KIMMR,0,0,18941212,0,16885054,17162466,11413993,10368751,9661230,9071990,35849622,18555591,16452108,47065236,33706809,35902654,37116023,49510682,40167140,39973753,41714231
1BGA,Şerefiye,Goodwill,KIMMR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1BH,Maddi Olmayan Duran Varlıklar,Intangible Fixed Assets,KIMMR,0,0,71606,0,96326,159057,131993,114329,253594,358568,735363,390882,229232,506302,316822,283316,245491,273981,177628,138937,124442
1BJ,Ertelenmiş Vergi Varlığı,Long Term Deffered Tax Assets,KIMMR,0,0,1491136,0,1841362,1885960,1312401,1475963,1456770,1470307,2141571,1501042,1379960,838284,585445,0,0,0,0,0,0
1BK,Diğer Duran Varlıklar,Other Long-Term Assets,KIMMR,0,0,0,0,0,151181,138565,161425,173424,185076,1068497,3957672,2764519,1384703,534854,854576,3390708,679553,564803,580688,580030
1BL,TOPLAM VARLIKLAR,TOTAL ASSETS,KIMMR,0,0,81944289,0,75881506,99197244,69284795,69572438,69576379,67552861,152376798,99793630,89709005,183743133,131828160,151535550,161670659,224312149,189340278,192196234,205246731
1BM,KAYNAKLAR,LIABILITIES,KIMMR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2A,Kısa Vadeli Yükümlülükler,SHORT TERM LIABILITIES,KIMMR,0,0,43013884,0,41056708,38419270,27317285,29633271,32768951,33469845,55478249,42816545,39430767,56991811,41163639,39162610,44935087,66624940,58704801,55520186,59153827
2AA,Finansal Borçlar,Short-Term Financial Loans,KIMMR,0,0,7095404,0,3973057,4410832,4308703,4473801,4893546,5197675,9941683,7158008,6909939,10690216,7028106,7589128,8763174,16989452,10369295,13188255,13256942
2AAG,Diğer Finansal Yükümlülükler,Other Short-Term Financial Liabilities,KIMMR,0,0,0,0,0,1944923,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2AAGAA,Ticari Borçlar,Short-Term Trade Payables,KIMMR,0,0,33972639,0,30348356,28652101,20957185,23238641,24352366,25202580,41822300,31997094,28885492,41108405,29566154,27517753,32731760,44553383,42149143,37547647,41377071
2AAGAB,Diğer Borçlar,Other Short-Term Loans,KIMMR,0,0,3992,0,2239156,152517,28887,15475,1813953,1303351,37145,24925,34392,33298,22671,24187,27624,33841,22321,20905,25402
2AAGAC,Müşteri Söz. Doğan Yük.,None,KIMMR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2AAGB,Finans Sektörü Faaliyetlerinden Borçlar,Short-Term Loans from Financial Operations,KIMMR,0,0,0,0,2081842,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2AAGC,Devlet Teşvik ve Yardımları,Short-Term Government Promotions and Aids,KIMMR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2AAGCA,Ertelenmiş Gelirler (Müşteri Söz. Doğan Yük. Dış.Kal.),None,KIMMR,0,0,15615,0,0,174746,112145,63542,93654,130547,38885,138290,262348,583604,328071,220694,110074,547799,651159,635506,446516
2AAGD,Dönem Karı Vergi Yükümlülüğü,Taxation Liabilities on Income (-),KIMMR,0,0,321889,0,333790,306883,237501,211897,262166,164757,550680,490075,421446,515615,259430,0,592431,900423,582243,948877,810420
2AAGE,Borç Karşılıkları,Short-Term Provisions,KIMMR,0,0,294468,0,610866,340310,144802,202764,133717,139226,404564,314960,180806,472962,508773,294659,544393,325294,356716,279712,372388
2AAGF,Diğer Kısa Vadeli Yükümlülükler,Other Short-Term Liabilities,KIMMR,0,0,1309877,0,1469641,2436957,1528061,1427150,1219549,1331709,2682991,2693192,2736343,3587712,3450434,3516189,2165632,3274748,4573925,2899283,2865089
2AAGG,(Ara Toplam),(Subtotal),KIMMR,0,0,43013884,0,41056708,38419270,27317285,29633271,32768951,33469845,55478249,42816545,39430767,56991811,41163639,39162610,44935087,66624940,58704801,55520186,59153827
2AAGH,Satış Amaçlı Elde Tutulan Duran Varlıklara İlişkin Yükümlülükler,Liabilities on Assets to be Sold,KIMMR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2B,Uzun Vadeli Yükümlülükler,LONG TERM LIABILITIES,KIMMR,0,0,13603588,0,12802202,13307788,9362049,10080554,9978276,9729101,30680770,22608854,24087301,40542398,27217894,38747668,38272231,55926202,43982637,48141983,52707411
2BA,Finansal Borçlar,Long-Term Financial Loans,KIMMR,0,0,11726637,0,2483713,1655608,8063833,8686322,8799702,8545153,16865070,17351714,20808638,29876981,18110926,29634316,28049680,43255008,31575195,35176511,38218838
2BB,Diğer Finansal Yükümlülükler,Other Short-Term Financial Liabilities,KIMMR,0,0,0,0,0,9654632,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2BBA,Ticari Borçlar,Long-Term Trade Payables,KIMMR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2BBB,Diğer Borçlar,Other Long-Term Loans,KIMMR,0,0,3364,0,3364,3289,2191,1995,1753,1712,2793,4000,2799,3758,2373,39729,41631,13340,11004,10457,10013
2BBBA,Müşteri Söz.Doğan Yük.,None,KIMMR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2BC,Finans Sektörü Faaliyetlerinden Borçlar,Long-Term Loans from Financial Operations,KIMMR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2BD,Devlet Teşvik ve Yardımları,Long-Term Government Promotions and Aids,KIMMR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2BDA,Ertelenmiş Gelirler (Müşteri Söz.Doğan Yük. Dış.Kal.),None,KIMMR,0,0,0,0,0,0,0,0,0,0,0,0,0,945504,586360,722664,757251,454544,10352,9838,9227
2BE,Uzun vadeli karşılıklar,Long-Term Provisions,KIMMR,0,0,1321428,0,1505978,1187352,793711,926943,778864,859478,5639067,3550495,969538,1683575,1195785,1254854,1266677,1665716,1339415,1320845,1251854
2BF,Çalışanlara Sağlanan Faydalara İliş.Karş.,Provisions for Retirment Pay,KIMMR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2BG,Ertelenmiş Vergi Yükümlülüğü,Deferred Tax Liabilities,KIMMR,0,0,552160,0,562243,536758,382349,410671,373965,322758,8173839,1702645,2222774,7962465,7322449,7096105,8156991,10537594,11046670,11624332,13217480
2BH,Diğer Uzun Vadeli Yükümlülükler,Other Long-Term Liabilities,KIMMR,0,0,0,0,8246905,270148,119965,54622,23993,0,0,0,83552,70115,0,0,0,-0,0,0,0
2N,Özkaynaklar,SHAREHOLDERS EQUITY,KIMMR,0,0,25326817,0,22022596,47470186,32605461,29858613,26829152,24353916,66217779,34368231,26190937,86208924,63446626,73625272,78463341,101761006,86652840,88534064,93385493
2O,Ana Ortaklığa Ait Özkaynaklar,Parent Shareholders Capital,KIMMR,0,0,25326817,0,22022596,47470186,32605461,29858613,26829152,24353916,66217779,34368231,26190937,86208924,63446626,73625272,78463341,101761006,86652840,88534064,93385493
2OA,Ödenmiş Sermaye,Share Capital,KIMMR,0,0,23544607,0,20124426,26982967,17973489,16367170,14378662,12936541,12812300,12507948,8750820,8137993,7420324,7298094,7021137,6790441,6343551,6028273,5771784
2OC,Karşılıklı İştirak Sermayesi Düzeltmesi (-),Adjustments to Share Capital,KIMMR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2OCA,Hisse Senedi İhraç Primleri,Premium in Excess of Par,KIMMR,0,0,0,0,0,18269717,12169550,0,0,8759116,28265713,8468923,5925035,25921105,18836221,20083027,21044226,27129025,22238682,22402831,23059306
2OCB,Değer Artış Fonları,Market Value Surpluses,KIMMR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2OCC,Yabancı Para Çevrim Farkları,FX Translation Differences,KIMMR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2OCD,Kardan Ayrılan Kısıtlanmış Yedekler,Income Reserves,KIMMR,0,0,161039,0,214909,210111,139956,127448,111964,170485,677526,164837,255094,827675,601450,641262,897523,1157035,948465,1291459,1329303
2OCE,Geçmiş Yıllar Kar/Zararları,Retained Earnings /(Acc. Losses),KIMMR,0,0,-5213629,0,-2788139,-2725884,-1815725,-261435,-229673,-276388,-33113682,2484825,1598665,-48677124,-22712425,-24215805,-25600373,-33002552,-16842798,-17303112,-17810148
2OCF,Dönem Net Kar/Zararı,Current Year Income /(Losses),KIMMR,0,0,2042036,0,413702,807965,1528632,288128,849639,1014090,-19741356,527591,2953523,17421855,908430,7196072,9072652,12455980,3181529,4642195,7164180
2OD,Diğer Özsermaye Kalemleri,Other Sholders Equity Items,KIMMR,0,0,4792764,0,4057697,3925311,2609559,13337303,11718560,1750072,77317279,10214107,6707800,82577421,58392626,62622622,66028177,85504296,70783411,71472418,73871068
2ODA,Azınlık Payları,Minority Interests,KIMMR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2ODB,TOPLAM KAYNAKLAR,TOTAL LIABILITIES AND S.HOLDERS EQUITY,KIMMR,0,0,81944289,0,75881506,99197244,69284795,69572438,69576379,67552861,152376798,99793630,89709005,183743133,131828160,151535550,161670659,224312149,189340278,192196234,205246731
3B,Sürdürülen Faaliyetler,Continuing Operations,KIMMR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3C,Satış Gelirleri,Net Sales,KIMMR,74415607,104687261,140013551,35737256,77220665,114631027,145522691,31903186,68459425,104345467,285826550,108538962,286267072,375176830,84694992,172882365,269711039,359737269,81130204,158160065,254934253
3CA,Satışların Maliyeti (-),Cost Of Sales,KIMMR,-59580450,-83511537,-107938789,-25861066,-57837925,-83760772,-106631839,-23817397,-51832789,-78815628,-221860077,-79781519,-220412485,-284407832,-66712381,-129416731,-204301820,-278587480,-60701478,-119088638,-193415749
3CAA,Ticari Faaliyetlerden Diğer Kar (Zarar),Other Profit (Loss) from Trade Operations,KIMMR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3CAB,Ticari Faaliyetlerden Brüt Kar (Zarar),Gross Profit (Loss) from Trade Operations,KIMMR,14835157,21175723,32074762,9876189,19382740,30870254,38890852,8085789,16626635,25529839,63966473,28757443,65854587,90768998,17982610,43465635,65409219,81149789,20428726,39071426,61518504
3CAC,"Faiz, Ücret, Prim, Komisyon ve Diğer Gelirler","Proceeds from Interest, Fee, Premium, Commission and Other",KIMMR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3CAD,"Faiz, Ücret, Prim, Komisyon ve Diğer Giderler (-)","Expenses from Interest, Fee, Premium, Commission and Other",KIMMR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3CAE,Finans Sektörü Faaliyetlerinden Diğer Kar (Zarar),Other Profit (Loss) from Financial Operations,KIMMR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3CAF,Finans Sektörü Faaliyetlerinden Brüt Kar (Zarar),Gross Profit (Loss) from Financial Operations,KIMMR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3CB,Diğer Gelir ve Giderler,Other Income (Expenses),KIMMR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
