FINANCIAL_ITEM_CODE,FINANCIAL_ITEM_NAME_TR,FINANCIAL_ITEM_NAME_EN,SYMBOL,2020/6,2020/9,2020/12,2021/3,2021/6,2021/9,2021/12,2022/3,2022/6,2022/9,2022/12,2023/3,2023/9,2023/12,2024/3,2024/6,2024/9,2024/12,2025/3,2025/6,2025/9
3D,BRÜT KAR (ZARAR),GROSS PROFIT (LOSS),KIMMR,14835157,21175723,32074762,9876189,19382740,30870254,38890852,8085789,16626635,25529839,63966473,28757443,65854587,90768998,17982610,43465635,65409219,81149789,20428726,39071426,61518504
3DA,"Pazarlama, Satış ve Dağıtım Giderleri (-)",Marketing Selling & Distrib. Expenses (-),KIMMR,-11154251,-16509705,-21069989,-5789013,-11354808,-17312255,-21836425,-5914035,-11314888,-17989731,-47182315,-16618558,-40733488,-54987426,-12757131,-24783619,-40308691,-56169459,-13334052,-23423277,-37563332
3DB,Genel Yönetim Giderleri (-),General Administrative Expenses (-),KIMMR,-1257067,-2001008,-2496697,-742437,-1442802,-3476940,-4027941,-703908,-1512212,-2228793,-6558998,-4252365,-11785613,-7953741,-1717495,-3358587,-5091403,-7138687,-1798497,-3073711,-4918301
3DC,Araştırma ve Geliştirme Giderleri (-),Research & Development Expenses (-),KIMMR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3DD,Diğer Faaliyet Gelirleri,Income from Other Operations,KIMMR,1363697,2132619,3352529,576880,990873,1507077,1611030,447279,1024905,1202993,3691051,2589970,11407410,9268830,2941892,3496521,4233850,5154523,2129179,2459592,2972952
3DE,Diğer Faaliyet Giderleri (-),Expenses from Other Operations (-),KIMMR,-2775759,-4230087,-7567291,-2528683,-6059844,-9207407,-10401009,-1774252,-3892388,-5422812,-18926539,-4310872,-9512121,-24874132,-4314605,-7218335,-10409802,-13189150,-3797609,-6268868,-9098752
3DEA,Faaliyet Karı Öncesi Diğer Gelir ve Giderler,Other Income (Expenses) Before Operating Profits,KIMMR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3DF,FAALİYET KARI (ZARARI),OPERATING PROFITS,KIMMR,1011776,567541,4293315,1392936,1516160,2380729,4236509,140873,932053,1091496,-5010327,6165618,15230775,12222529,2135271,11601614,13833174,9807017,3627747,8765162,12911070
3H,Net Faaliyet Kar/Zararı,Net Operating Profits,KIMMR,2423838,2665010,8508077,3344739,6585131,10081059,13026487,1467847,3799535,5311316,10225161,7886520,13335486,27827831,3507985,15323428,20009126,17841643,5296177,12574438,19036871
3HA,Yatırım Faaliyetlerinden Gelirler,None,KIMMR,48250,89843,492477,19966,34697,52790,1337281,11175,46616,113515,2942052,184619,1809786,6088504,149014,523922,607058,5071181,25048,55753,218282
3HAA,Yatırım Faaliyetlerinden Giderler (-),None,KIMMR,0,0,0,0,0,0,0,0,0,0,0,-0,-5976,0,0,0,0,-54425,0,0,0
3HAB,Diğer Gelir ve Giderler,None,KIMMR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3HAC,Özkaynak Yöntemiyle Değerlenen Yatırımların Kar/Zararlarındaki Paylar,Profit (Loss) from Subsidiaries,KIMMR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3HACA,Finansman Gideri Öncesi Faaliyet Karı/Zararı,None,KIMMR,1060026,657384,4785793,1412901,1550857,2433519,5573789,152048,978668,1205012,-2068275,6350237,17034585,18311033,2284285,12125536,14440232,14823772,3652794,8820915,13129352
3HB,(Esas Faaliyet Dışı) Finansal Gelirler,Financial Income (from Other Operations),KIMMR,64630,161092,305683,240443,498288,862030,2613963,675798,1316509,1928238,4661732,1433902,3948199,7765094,1753171,5076684,8601967,11872928,2807201,5901917,9386177
3HC,(Esas Faaliyet Dışı) Finansal Giderler (-),Financial Expenses (from Other Operations) (-),KIMMR,-2109600,-2008665,-2647839,-609195,-1385855,-1948985,-5126299,-465880,-1132104,-1727374,-22728583,-8770132,-7168547,-1024846,232321,-3216660,-4198786,-6593986,-37747,-5042680,-7701620
3HCA,Vergi Öncesi Diğer Gelir ve Giderler,Other Income (Expenses) Before Tax,KIMMR,48250,89843,492477,19966,34697,52790,1337281,11175,46616,113515,2942052,184619,1803810,6088504,149014,523922,607058,5016755,25048,55753,218282
3I,SÜRDÜRÜLEN FAALİYETLER VERGİ ÖNCESİ KARI (ZARARI),PROFIT BEFORE TAX FROM CONTINUING OPERATIONS,KIMMR,-984944,-1190190,2443636,1044149,663289,1346564,3061453,361966,1163073,1405875,-20135126,-985993,13814237,25051281,4269777,13985560,18843413,20102713,6422248,9680152,14813908
3IA,Sürdürülen Faaliyetler Vergi Geliri (Gideri),Taxation on Continuing Operations,KIMMR,347075,79751,-283872,-289186,-207321,-459783,-774452,-59593,-210427,-223612,-2121561,149127,-5942414,-3489186,-2959152,-3879096,-6040821,-6710607,-3102246,-4749560,-7103768
3IB,Dönem Vergi Geliri (Gideri),Taxation on Income (Expenses),KIMMR,-150500,-228986,-562340,-349809,-703452,-1035783,-1350262,-250828,-555229,-736407,-2107205,-1071096,-1731262,-2576525,-717684,-1558306,-2477311,-3132963,-607585,-1595506,-2420054
3IC,Ertelenmiş Vergi Geliri (Gideri),Income (Expenses) of Deferred Tax,KIMMR,497575,308737,278469,60623,496130,576000,575810,191235,344803,512795,-14355,1220223,-4211152,-912661,-2241468,-2320790,-3563511,-3577643,-2494661,-3154054,-4683715
3ID,Diğer Vergi Geliri (Gideri),Other Taxation Income (Expenses),KIMMR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3J,SÜRDÜRÜLEN FAALİYETLER DÖNEM KARI/ZARARI,PROFIT FROM CONTINUING OPERATIONS,KIMMR,-637869,-1110438,2159765,754963,455968,886781,2287001,302373,952647,1182263,-22256687,-836866,7871823,21562095,1310625,10106464,12802591,13392107,3320002,4930592,7710140
3K,DURDURULAN FAALİYETLER,DISCONTINUED OPERATIONS,KIMMR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
3KA,Durdurulan Faaliyetler Vergi Sonrası Dönem Karı (Zararı),Profit After Taxes from Discontinued Operations,KIMMR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3L,DÖNEM KARI (ZARARI),NET PROFIT AFTER TAXES,KIMMR,-637869,-1110438,2159765,754963,455968,886781,2287001,302373,952647,1182263,-22256687,-836866,7871823,21562095,1310625,10106464,12802591,13392107,3320002,4930592,7710140
3LA,Dönem Kar/Zararının Dağılımı,Distrubition of Profit (Loss),KIMMR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
3LB,Azınlık Payları,Minority Interests,KIMMR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3Z,Ana Ortaklık Payları,Parent Shares,KIMMR,-637869,-1110438,2159765,754963,455968,886781,2287001,302373,952647,1182263,-22256687,-836866,7871823,21562095,1310625,10106464,12802591,13392107,3320002,4930592,7710140
3ZD,Hisse Başına Kazanç,Earnings per Share,KIMMR,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3ZE,Seyreltilmiş Hisse Başına Kazanç,Diluted Earnings per Share,KIMMR,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3ZF,Sürdürülen Faaliyetlerden Hisse Başına Kazanç,Earnings per Share from Continuing Operations,KIMMR,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3ZG,Sürdürülen Faaliyetlerden Seyreltilmiş Hisse Başına Kazanç,Earnings per Share from Discontinued Operations,KIMMR,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4B,Amortisman Giderleri,Depreciation & Amortization,KIMMR,1230615,1862922,2273853,649461,1275935,2021120,2612386,452438,894669,1319064,6426030,1393629,4318098,5640924,1059782,2329788,3711159,4814503,791967,1604122,2508538
4BA,Kıdem Tazminatı,Severance Payments,KIMMR,0,0,0,0,0,0,0,0,0,475484,1474869,0,1420544,1731731,312236,356429,371989,394727,437994,356615,437635
4BB,Finansman Giderleri,Financial Expenses,KIMMR,-2109600,-2008665,-2647839,-609195,-1385855,-1948985,-5126299,-465880,-1132104,-1727374,-22728583,-8770132,-7168547,-1024846,232321,-3216660,-4198786,-6593986,-37747,-5042680,-7701620
4BC,Yurtiçi Satışlar,Domestic Sales,KIMMR,74680187,0,140620912,35961530,77771337,0,146708827,32205288,70001860,107546467,296686593,97965742,306314266,401462816,91062480,185638868,288484758,386214987,88220435,171910580,275988361
4BD,Yurtdışı Satışlar,Export Sales,KIMMR,0,0,0,0,0,0,0,0,0,0,0,0,54386,53843,0,0,0,0,0,0,0
4BE,Net Yabancı Para Pozisyonu,Net Fx Position,KIMMR,0,0,85672,0,79430,35786,58425,52187,1231100,3553362,4280886,2207239,6025636,6129034,8540723,8684641,12338350,9748249,7658049,9890251,10156379
4BEA,Parasal net yabancı para varlık/(yükümlülük) pozisyonu,Parasal net yabancı para varlık/(yükümlülük) pozisyonu,KIMMR,0,0,75226,0,68397,18329,37632,37198,1215095,3536721,4254369,2186668,2852297,5017943,8497886,8634524,9118550,9683328,7611035,9829161,10112262
4BEB,Net YPP (Hedge Dahil),Net YPP (Hedge Dahil),KIMMR,0,0,85672,0,79430,35786,58425,52187,1231100,3553362,4280886,2207239,6025636,6129034,8540723,8684641,12338350,9748249,7658049,9890251,10156379
4C,İşletme Faaliyetlerinden Kaynaklanan Net Nakit,Net Cash from Operations,KIMMR,10898780,10408968,11298003,3069699,3608786,2054027,-545736,568051,5122798,4568918,-611525,2886529,19972142,28343862,3927732,23348253,23865819,25727073,5094483,12036761,18244927
4CA,Düzeltme Öncesi Kar,Earnings Before Adjustments,KIMMR,-637869,-1110438,2159765,754963,455968,886781,2287001,302373,952647,1182263,-22256687,-922108,7871823,21562095,1310625,10106464,12802591,13392107,3320002,4930592,7710140
4CAA,Düzeltmeler:,Adjustments:,KIMMR,1565279,3538419,4361203,1263297,2252996,3231097,2709415,774317,1501336,1793327,6289802,2681873,12113004,3766257,5727791,22177576,23956969,14200423,5423911,15822319,23398484
4CAB,Amortisman & İtfa Payları,Depreciation & Amortisation,KIMMR,1230615,1862922,2273853,649461,1275935,2021120,2612386,452438,894669,1319064,6426030,1393629,4318098,5640924,1059782,2329788,3711159,4814503,791967,1604122,2508538
4CAC,Karşılıklardaki Değişim,Change in Provisions,KIMMR,195022,491819,655303,272954,745673,984501,1705121,883997,1485423,2107165,5905599,976258,-3079177,-2191047,396079,297672,310111,158595,473162,371593,454166
4CAD,Diğer Gelir/ Gider,Other Income / Expense,KIMMR,139642,1183678,1432047,340882,231388,225476,-1608092,-562119,-878756,-1632902,-6041827,544562,11572826,1549985,4191858,6351147,9667382,9972289,4329195,8373160,12317600
4CAE,İşletme Sermayesinde Değişikler Öncesi Faaliyet Karı (+),Operating Profit Before Changes in Working Capital (+),KIMMR,927410,2427980,6520967,2018260,2708964,4117878,4996416,1076690,2453982,2975590,-15966885,1759765,19984827,25328352,7038417,32284039,36759560,27592530,8743913,20752911,31108624
4CAF,İşletme Sermayesindeki Değişiklikler,Change in Working Capital,KIMMR,10105586,7375861,5484816,1468734,1683961,-762749,-3961129,-147981,3332168,2617867,17983139,2174823,1345492,6503019,-1746208,-7259000,-10776317,1288644,-3448196,-6927171,-9471198
4CAG,Esas Faaliyet ile İlgili Oluşan Nakit (+),Cash from Core Operations (+),KIMMR,11032996,9803841,12005784,3486995,4392926,3355129,1035287,928709,5786150,5593456,2016255,3934588,21330319,31831371,5292209,25025040,25983243,28881174,5295717,13825740,21637426
4CAH,Diğer İşletme Faaliyetlerinden Nakit,Cash from Other Operations,KIMMR,-134216,605127,-707781,-417296,-784140,-1301103,-1581023,-360658,-663352,-1024538,-2627779,-1048059,-1358177,-3487509,-1364477,-1676787,-2117424,-3154101,-201235,-1788978,-3392499
4CAI,Sabit Sermaye Yatırımları,Capital Expenditures (CapEx),KIMMR,-1645165,-2108569,-2469818,-765137,-48132,-124884,-3979728,-415881,-4680214,-5442007,-5152425,-475927,-9534509,-10833582,-202737,-1120035,-1626086,-6217845,-285158,-495728,-1789231
4CAJ,Diğer Yatırım Faaliyetlerinden Nakit,Cash from Other Investment Operations,KIMMR,0,0,0,0,-2020359,-3449003,0,0,0,-1233561,-8057244,206841,-918578,-638817,1721680,802806,845457,830200,-4544797,-4846700,-12985180
4CAK,Yatırım Faaliyetlerinden Kaynaklanan Nakit,Cash from Investment Operations,KIMMR,-1645165,-2108569,-2469818,-765137,-2068491,-3573887,-3979728,-415881,-4680214,-6675569,-13209669,-269086,-10453087,-11472399,1518944,-317230,-780629,-5387645,-4829955,-5342428,-14774411
4CB,Serbest Nakit Akım,Free Cash Flow,KIMMR,9253615,8300399,8828184,2304562,1540294,-1519860,-4525464,152170,442583,-2106650,-13821194,2617443,9519055,16871463,5446676,23031023,23085190,20339428,264528,6694334,3470515
4CBA,Finansal Borçlardaki Değişim,Change in Financial Debt,KIMMR,-386043,-727380,-735961,-1280357,-1469757,-1701093,-1817782,-234280,339234,855231,-753509,514304,-3920042,-4873965,-1946461,-2730673,-5075037,-5866679,-4364934,-3064210,-4584685
4CBB,Temettü Ödemeleri,Dividends Paid,KIMMR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4CBC,Sermaye Artırımı,Rights Issue,KIMMR,0,0,0,0,0,28072664,25489780,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4CBD,Diğer Finansman Faaliyetlerinden Nakit,Cash from Other Financial Operations,KIMMR,-1193083,-1328620,-1595960,-60359,-36573,213806,1085956,617711,1057954,1814148,0,-166360,-650138,-309913,-238523,-233534,-239856,-13433,0,0,0
4CBE,Finansman Faaliyetlerden Kaynaklanan Nakit,Cash from Financial Operations,KIMMR,-1579126,-2055999,-2331921,-1340717,-1506330,26585377,24757953,383431,1397188,2669379,-753509,347944,-4570180,-5183878,-2184984,-2964207,-5314893,-5880112,-4364934,-3064210,-4584685
4CBF,Yab. Para Çev. Fark. Etk. Önc.Nak.Ve Nak. Benz. Net Artış/Azalış,Cash Net Inc. / Dec. before For.Cur. Trans. Dif.,KIMMR,7674490,6244400,6496263,963845,33964,25065517,20232489,535601,1839772,562729,-14574703,2965387,4948875,11687585,3261692,20066816,17770297,14459316,-4100407,3630123,-1114170
4CBG,Yab.ı Para Çevrim Fark. Nakit Ve Nakit Benz. Üzerindeki Etkisi,Foreign Curr. Trans.Diff.Cash and Cash Benz. Imp.,KIMMR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4CBH,Diğer Nakit Girişi/Çıkışı,Other Cash Inflow/Outflow,KIMMR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4CBI,Nakit ve Benzerlerindeki Değişim,Change in Cash & Cash Equivalents,KIMMR,7674490,6244400,6496263,963845,33964,25065517,20232489,535601,1839772,562729,-14574703,2965387,4948875,11687585,3261692,20066816,17770297,14459316,-4100407,3630123,-1114170
4CBJ,Diğer Nakit ve Nakit Benzerlerindeki Artış,Other Cash & Cash Equivalents Change,KIMMR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4CBK,Dönem Başı Nakit Değerler,Cash at the beginning of the Quarter,KIMMR,3719709,3579197,3429937,9420099,8841357,8607735,7815762,17916002,16816125,15731334,40781530,26517722,26648653,26382811,32249152,33471116,35249358,34613260,39043186,40032453,41751844
4CBL,Dönem Sonu Nakit,Cash at the End of the Quarter,KIMMR,11394199,9823597,9926200,10383944,8875322,33673252,28048251,18451603,18655897,16294063,26206827,29483109,31597528,38070396,35510843,39936595,42184799,49072576,34942780,37941518,32172907
